What is most used in Quenching liquid material?,"Water, Oil, Brine"
Why is a pice of steel temper after it has been hardende?,Reduce the brittlness
How is steel annealed?,"Heat to upper critical temperater and steady temperature then to cool very slowly in the oven, reduce internal stress and brittleness."
How is steel hardening?,"Heat just critical temperature and then quenching with oil, water and brine, make tough and stronger."
Wat is meant by tempering steel?,first hardened and then remove harden for reduce internal stress and brittleness.
What is meant by case hardening?,surface is hardened by infusion carbon or aluminum nitride for internal strong and tough.
What are two methode of case hardening ?,nitriding and carburizing
How is steel nitrided?,"steel part heated in retort in which there is an ammonia. Aluminum, an alloying element in the steel, combine with the nitrogen."
What is the method of solution theat treatment of an aluminum alloy?,The metal is hardened by heating in furnace to specific temperature then immediately quenching in water.
What is the method of precipitation heat treating of an aluminum alloy?,"The metal is  heated and quenched, then it is  returned to the oven and heated to a lower temperature. It is  held at this temperature for specified time, then removed from the oven and allowed to cool in still air. This increases the strength and hardeness of the metal."
What is another name for precipication heat treatment?,Artificial aging
Identify and explain the differences between heat-treated and non heat-treated aluminum alloy?,heat-treated aluminum alloy has -T.
Why is it important that a piece of aluminum alloy be quenched immediately after it is removed from the heat-treatment? ,if not it should be intergranular corrosion.
What is water break test?,"The metal surface is perfactly clean and free of oils and contaminants before bonding, painting, or futher heat treatment."
What are the methods used to remove finishes from composite materials?,sanding or abrasive with plastic metal.
"When mixing epoxy paint, should the converter be added to the resin or the resin to the convert?",converter be added to resin.
What should be done to a corroded aluminum alloy surface after the corrosion has been removed by mechanical method?,chemical conversion coating before topcoat apply
What may be done to the surface to prevent filiform corrosion beneath the topcoat?,the primer is properly and completely cured
How is the finish removed from a fiberglass aircraft component that is being repaired?,"sand off the finish, painter remover help."
How can a vinyl film decal be removed from an aluminum alloy surface?,stature MEK and then scrap with plastic scraper.
How can remove metal rust in mechanical?,
"What is the primary purpose of a conversion coating, such as Alodine, on aluminum?","Corrosion resistance, Proper primer"
Why is a wash primer used on some aircraft surfaces?,harder and corrosion resistance
What is the difference between 'Aluminizing' and 'Anodizing'?,"Aluminizing : Mechanical treatment, Anodizing :Chemical Treatment"
"When applying a primer, what enviormental factor is most likely to cause 'blushing' or ppor adhesion?",Humanity
What is the purpose of Zinc Chromate or Epoxy primer?,Moisture barrer and corrosion inhibiter.
What causes fisheyes to finish?,Surface contamination
Where is intergranular corrosion most likely to occur on an aircraft? ,Along the grain boundaries of aluminum alloys that have been improperly heat-treated(Extruded aluminum alloy )
What is Exfoliation corrosion?,an advanced form of intergranular corrosion and shows itself  by lifting up the surface grains of a metal by force of expanding corrosion products occuring at the grain boundaries just below the surface.
Where is stress corrosion most likely to occur on an aircraft?,continually under a tensile stress. The metal around holes in castings fitted with pressed-in bushings is susceptible to stress corrosion.
How does filiform corrosion usually appear on an aircraft structure? ,As thread-like lines of puffiness under a film of polyurethane or other dense finish system topcoats.
What must be done to a piece of aluminum alloy to remove surface corrosion and to treat the metal to prevent further corrosion?,a bristle brush or a nylon scrubber. Neutralize the surface with chromic acid or with some type of conversion coating. Protect the surface from further corrosion with a coat of paint.
How may rust be removed from a highly stressed metal part?,"By glass bead blasting, by careful polishing with mild abrasive paper, or by using fine buffing compound on a cloth buffing wheel."
What tools are proper for removing corrosion from aluminum alloy?,Aluminum wool or aluminum wire brushes. Severe corrosion can be removed with a rotary file.
What type of device is used to remove surface corrosion from a piece of magnesium alloy?,A stiff hog-bristle brush.
What must be done to a piece of aluminum alloy to remove surface corrosion and to treat the metal to prevent further corrosion?,Remove the corrosion residue with a bristle brush or a nylon scrubber. Neutralize the surface with chromic acid or with some type of conversion coating. Protect the surface from further corrosion with a coat of paint.
What is airworthy?,type of design and operating is in safe.
Who is authorized to perform a 100-hour inspection on an aircraft?,A certificated Aviation Mechanic who holds an Airframe and Powerplant rating.
Who is authorized to perform an annual inspection on an aircraft?,A certificated A&P mechanic who holds an Inspection Authorization.
Can a certificated A&P mechanic supervise an unlicensed person as the unlicensed person performs a 100-hour inspection on an aircraft?,"No, a certificated mechanic must personally perform the inspection."
Who is authorized to rebuild an aircraft engine and issue a zero time maintenance record?,Only the manufacturer of the engine or a facility approved by the manufacturer.
Which FAR specifies required maintenance records?,"14 CFR §91.417 specifies you must keep records of maintenance, preventive maintenance, major repairs and alterations, and 100-hour, annual, and progressive inspections."
Are instructions included in the Federal Regulations mandatory or optional?,They are mandatory.
Who is authorized to approve an aircraft for return to service after a major repair?,An aircraft mechanic holding an Inspection Authorization.
"Who is authorized to perform preventive maintenance on an aircraft that is not flown under Part 121, 127, 129, or 135?",The holder of a pilot certificate that flies that particular aircraft.
Who is authorized to rebuild an aircraft engine and issue a zero-time record?,The manufacturer of the engine or a facility approved by the manufacturer.
Who is authorized to approve an aircraft for return to service after a minor alteration has been performed on the airframe? ,A certificated Aviation Mechanic holding an Airframe rating.
What is the minimum age for an Aviation Mechanic certificate?,18 years.
What are the two ratings that can be issued to an Aviation Mechanic certificate?,Airframe and Powerplant.
How many months of practical experience is needed to qualify for the Aviation Mechanic certificate with both Airframe and Powerplant ratings?,30 months.
What can be used in place of the 30 months of experience to qualify to take the mechanic tests?,A certificate of completion from a certificated aviation maintenance technician school.
What type of experience is required to take the tests for Aviation Mechanic certification?,"Practical experience with the procedures, practices, materials, tools, machine tools, and equipment generally used in constructing, maintaining, or altering airframes, or powerplants appropriate to the rating sought."
What tests are used to demonstrate that a mechanic applicant has the proper knowledge?,The written knowledge tests.
What tests are used to demonstrate that a mechanic applicant meets the minimum skill requirements?,The oral and practical tests.
What certificate and ratings are required for a mechanic to conduct a 100-hour inspection and approve the aircraft for return to service?,An Aviation Mechanic certificate with both Airframe and Powerplant ratings.
What certificate and ratings are required for a mechanic to conduct an annual inspection and approve the aircraft for return to service?,An Aviation Mechanic certificate with an Inspection Authorization.
"When, after making a permanent change of address, is the holder of an Aviation Mechanic certificate required to notify the FAA?",Within 30 days.
Is a certificated Aviation Mechanic with Airframe and Powerplant ratings authorized to perform 100-hour and annual inspections?,No. Only 100-hour inspections. Inspection Authorization is required to perform an annual inspection.
"A certificated Aviation Mechanic may not supervise the maintenance, preventive maintenance, or alteration of, or approve and return to service, any aircraft or appliance, or part thereof, for which the mechanic is rated unless he or she has met what stipulation?",The mechanic must have satisfactorily performed the work concerned at an earlier date.
Is it permissible for a mechanic with an Airframe and Powerplant rating to replace the tachometer cable for a magnetic drag tachometer? ,"Yes, this does not constitute a repair to an instrument."
Is a certificated Aviation Mechanic with an Airframe and Powerplant rating allowed to zero the pointers on a fuel pressure gauge?,"No, a mechanic is not allowed to make any repairs or alterations to an aircraft instrument."
